,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
1997-12-10,4.5833330154418945,4.625,4.3958330154418945,4.5104169845581055,4.5104169845581055,1444800,AMZN,24.786032,35.05208206176758,20.275614738464355,0.0
1997-12-17,4.375,4.4583330154418945,4.2552080154418945,4.390625,4.390625,6140400,AMZN,18.50029,17.350000381469727,14.109664916992188,0.0
1997-12-30,4.8333330154418945,4.90625,4.78125,4.8489580154418945,4.8489580154418945,6285600,AMZN,894.5465,907.6199951171874,889.6975507736206,0.0
1998-01-06,4.6979169845581055,4.875,4.6666669845581055,4.8385419845581055,4.8385419845581055,4174800,AMZN,82.074585,90.91000366210938,77.2360429763794,0.0
1998-01-08,4.6979169845581055,4.703125,4.53125,4.6145830154418945,4.6145830154418945,6015600,AMZN,250.879,258.75,246.26441478729248,0.0
1998-01-21,4.9375,5.1666669845581055,4.875,5.0729169845581055,5.0729169845581055,8738400,AMZN,39.022083,35.849998474121094,33.9491662979126,0.0
1998-03-06,6.3020830154418945,6.4166669845581055,6.1458330154418945,6.3958330154418945,6.3958330154418945,5887200,AMZN,41.135628,42.6875,34.73979473114014,0.0
1998-03-11,6.8333330154418945,6.875,6.5208330154418945,6.6354169845581055,6.6354169845581055,12349200,AMZN,1896.5171,1973.8199462890625,1889.881672859192,0.0
1998-03-20,7.0,7.0729169845581055,6.9270830154418945,7.0,7.0,6412800,AMZN,1927.2938,1866.780029296875,1920.2938232421875,0.0
1998-03-26,6.8125,6.9791669845581055,6.625,6.8958330154418945,6.8958330154418945,7878000,AMZN,545.1499,548.9000244140625,538.2540693283081,0.0
1998-04-06,7.8541669845581055,7.8958330154418945,7.3541669845581055,7.3854169845581055,7.3854169845581055,11024400,AMZN,1815.6532,1773.8399658203125,1808.2677812576294,0.0
1998-04-16,8.010416984558105,8.276041984558105,7.765625,8.208333015441895,8.208333015441895,16244400,AMZN,250.46518,232.41999816894534,242.25684642791748,0.0
1998-04-20,7.9479169845581055,8.291666984558105,7.8125,7.8541669845581055,7.8541669845581055,8979600,AMZN,40.188896,35.02000045776367,32.33472919464111,0.0
1998-04-22,7.7708330154418945,7.8020830154418945,7.25,7.2708330154418945,7.2708330154418945,11301600,AMZN,47.233845,42.08000183105469,39.963011741638184,0.0
1998-04-23,7.25,7.25,6.7083330154418945,6.75,6.75,12253200,AMZN,615.96985,642.3499755859375,609.2198486328125,0.0
1998-04-27,6.9479169845581055,7.0520830154418945,6.4270830154418945,6.8958330154418945,6.8958330154418945,18885600,AMZN,70.642296,48.959999084472656,63.74646282196045,0.0
1998-05-05,7.8333330154418945,7.9583330154418945,7.7604169845581055,7.809895992279053,7.809895992279053,5998800,AMZN,663.6852,679.0599975585938,655.8752846717834,0.0
1998-05-06,7.8333330154418945,7.8333330154418945,7.5104169845581055,7.53125,7.53125,7438800,AMZN,989.0386,972.4299926757812,981.50732421875,0.0
1998-06-01,7.3333330154418945,7.375,6.9427080154418945,7.1354169845581055,7.1354169845581055,8043600,AMZN,25.207558,36.33333206176758,18.07214069366455,0.0
1998-06-12,10.583333015441895,10.583333015441895,9.708333015441895,10.166666984558105,10.166666984558105,21655800,AMZN,43.57541,27.75,33.40874195098877,0.0
1998-06-18,13.5,13.75,11.958333015441895,12.020833015441895,12.020833015441895,31639800,AMZN,188.27646,196.6300048828125,176.25562572479248,0.0
1998-06-23,13.510416984558105,15.458333015441895,13.416666984558105,15.447916984558105,15.447916984558105,37463400,AMZN,41.873554,39.459999084472656,26.425637245178223,0.0
1998-07-01,16.96875,19.083332061767578,16.791667938232422,19.020832061767578,19.020832061767578,28254600,AMZN,24.44904,21.860000610351562,5.4282073974609375,0.0
1998-07-08,18.645832061767578,19.833332061767578,17.0625,17.854167938232422,17.854167938232422,58311600,AMZN,145.91263,119.70999908447267,128.0584602355957,0.0
1998-07-10,17.166667938232422,17.645832061767578,16.354167938232422,16.583332061767578,16.583332061767578,24982200,AMZN,1801.917,1844.0699462890627,1785.3336601257324,0.0
1998-07-22,22.333332061767578,23.3125,21.75,22.333332061767578,22.333332061767578,27974400,AMZN,9.604834,7.0833330154418945,0.0,12.728498458862305
1998-07-29,20.083332061767578,20.25,17.916667938232422,17.96875,17.96875,19644600,AMZN,1860.7739,1922.18994140625,1842.80517578125,0.0
1998-08-19,21.875,22.291667938232422,21.166667938232422,21.458332061767578,21.458332061767578,19281600,AMZN,57.589367,62.5625,36.13103485107422,0.0
1998-08-31,17.572917938232422,17.9375,13.854166984558105,13.958333015441895,13.958333015441895,41000400,AMZN,523.8558,552.52001953125,509.89744091033936,0.0
1998-09-03,13.9375,15.041666984558105,13.458333015441895,14.3125,14.3125,25471200,AMZN,54.39704,53.709999084472656,40.08454132080078,0.0
1998-09-04,14.447916984558105,15.0,13.666666984558105,14.375,14.375,17812200,AMZN,406.6937,387.6000061035156,392.3186950683594,0.0
1998-09-09,14.916666984558105,15.395833015441895,13.895833015441895,14.083333015441895,14.083333015441895,17896200,AMZN,54.894867,53.470001220703125,40.81153392791748,0.0
1998-09-17,13.40625,13.916666984558105,12.75,12.833333015441895,12.833333015441895,42457800,AMZN,48.771397,47.88999938964844,35.938063621520996,0.0
1998-09-30,18.583332061767578,19.25,18.135417938232422,18.604167938232422,18.604167938232422,29430600,AMZN,2015.6566,1924.030029296875,1997.052448272705,0.0
